Date,Close,Volume
2020-09-10,4.649,423536864
2020-09-11,4.685,279946274
2020-09-14,4.712,263594672
2020-09-15,4.747,292860603
2020-09-16,4.719,188912654
2020-09-17,4.69,408145361
2020-09-18,4.811,873517831
2020-09-21,4.756,381620413
2020-09-22,4.699,578513427
2020-09-23,4.713,466006228
2020-09-24,4.636,344502320
2020-09-25,4.639,325369201
2020-09-28,4.649,304679600
2020-09-29,4.66,315881012
2020-09-30,4.646,454910191
2020-10-09,4.739,359609638
2020-10-12,4.887,360952774
2020-10-13,4.903,320043929
2020-10-14,4.879,278946496
2020-10-15,4.867,330528322
2020-10-16,4.853,283570693
2020-10-19,4.822,601869622
2020-10-20,4.852,273913000
2020-10-21,4.858,348894700
2020-10-22,4.842,257148347
2020-10-23,4.786,776805715
2020-10-26,4.75,507147375
2020-10-27,4.764,299348813
2020-10-28,4.804,482829143
2020-10-29,4.848,371024766
2020-10-30,4.757,384587845
2020-11-02,4.785,200166029
2020-11-03,4.836,356112935
2020-11-04,4.873,344738845
2020-11-05,4.949,375894391
2020-11-06,4.951,354123679
2020-11-09,5.048,597987950
2020-11-10,5.021,384784687
2020-11-11,4.974,394072600
2020-11-12,4.971,258032875
2020-11-13,4.92,432927885
2020-11-16,4.973,285050760
2020-11-17,4.964,298769617
2020-11-18,4.957,360698687
2020-11-19,4.999,270079501
2020-11-20,5.014,284503346
2020-11-23,5.072,521147087
2020-11-24,5.04,346142109
2020-11-25,4.978,425196010
2020-11-26,4.985,395838615
2020-11-27,5.056,378780759
2020-11-30,5.031,535115737
2020-12-01,5.142,475283650
2020-12-02,5.131,292946878
2020-12-03,5.129,248986842
2020-12-04,5.14,330154760
2020-12-07,5.096,359375330
2020-12-08,5.08,361251873
2020-12-09,5.02,568550630
2020-12-10,5.01,318844690
2020-12-11,4.954,403011950
2020-12-14,4.998,251887731
2020-12-15,5.013,284133598
2020-12-16,5.023,284081500
2020-12-17,5.094,466230890
2020-12-18,5.065,460711300
2020-12-21,5.11,445896144
2020-12-22,5.033,515397033
2020-12-23,5.074,338687208
2020-12-24,5.074,383376749
2020-12-25,5.116,403356129
2020-12-28,5.13,447130014
2020-12-29,5.114,342717900
2020-12-30,5.178,340671518
2020-12-31,5.287,861799157
2021-01-04,5.334,506705639
2021-01-05,5.433,622830794
2021-01-06,5.482,374945107
2021-01-07,5.599,470659227
2021-01-08,5.571,697564767
2021-01-11,5.508,635965163
2021-01-12,5.668,596280782
2021-01-13,5.646,552434398
2021-01-14,5.543,696047994
2021-01-15,5.526,709049177
2021-01-18,5.513,396768553
2021-01-19,5.438,417009672
2021-01-20,5.468,422385751
2021-01-21,5.562,511620315
2021-01-22,5.565,554309326
2021-01-25,5.631,450177153
2021-01-26,5.511,392744995
2021-01-27,5.521,591541591
2021-01-28,5.385,469951845
2021-01-29,5.348,622113874
2021-02-01,5.411,436288063
2021-02-02,5.491,573156921
2021-02-03,5.485,281969488
2021-02-04,5.474,300084150
2021-02-05,5.482,560000491
2021-02-08,5.554,475013428
2021-02-09,5.692,418299845
2021-02-10,5.807,341909857
2021-02-18,5.764,470765736
2021-02-19,5.796,709064650
2021-02-22,5.589,776075991
2021-02-23,5.574,591250364
2021-02-24,5.427,1011269033
2021-02-25,5.478,669305438
2021-02-26,5.329,837070336
2021-03-01,5.418,558208540
2021-03-02,5.349,433859754
2021-03-03,5.454,361154593
2021-03-04,5.287,644981648
2021-03-05,5.266,593632850
2021-03-08,5.08,563722005
2021-03-09,4.979,931719068
2021-03-10,5.0,636535760
2021-03-11,5.129,620676884
2021-03-12,5.142,448201493
2021-03-15,5.04,386572405
2021-03-16,5.073,323236064
2021-03-17,5.096,306294597
2021-03-18,5.136,319610130
2021-03-19,4.997,492195605
2021-03-22,5.054,423486762
2021-03-23,5.009,491638773
2021-03-24,4.933,755052862
2021-03-25,4.929,284908649
2021-03-26,5.033,556534950
2021-03-29,5.043,639256772
2021-03-30,5.087,268283890
2021-03-31,5.05,230812676
2021-04-01,5.112,322996435
2021-04-02,5.161,280334645
2021-04-06,5.133,234635544
2021-04-07,5.098,175217273
2021-04-08,5.109,140755921
2021-04-09,5.038,222329800
2021-04-12,4.954,663938234
2021-04-13,4.947,453545245
2021-04-14,4.975,527184200
2021-04-15,4.947,493540700
2021-04-16,4.963,499764030
2021-04-19,5.089,567369226
2021-04-20,5.081,369851557
2021-04-21,5.093,414321361
2021-04-22,5.089,448399160
2021-04-23,5.14,322992630
2021-04-26,5.076,538061634
2021-04-27,5.089,317792609
2021-04-28,5.127,301245972
2021-04-29,5.173,380984480
2021-04-30,5.128,404241300
2021-05-06,5.061,407574566
2021-05-07,5.0,338289245
2021-05-10,4.999,369199148
2021-05-11,5.025,397926530
2021-05-12,5.056,253971232
2021-05-13,5.001,472543935
2021-05-14,5.127,848963043
2021-05-17,5.188,667255521
2021-05-18,5.19,283458826
2021-05-19,5.176,393359467
2021-05-20,5.19,270139103
2021-05-21,5.135,541063511
2021-05-24,5.163,349612789
2021-05-25,5.327,1536160149
2021-05-26,5.328,486861122
2021-05-27,5.347,530753500
2021-05-28,5.332,345621858
2021-05-31,5.338,328603031
2021-06-01,5.346,454422825
2021-06-02,5.303,577607087
2021-06-03,5.262,443276399
2021-06-04,5.295,558117757
2021-06-07,5.289,265277430
2021-06-08,5.247,454203706
2021-06-09,5.255,259513156
2021-06-10,5.289,404112579
2021-06-11,5.24,337555800
2021-06-15,5.181,431236597
2021-06-16,5.11,557301699
2021-06-17,5.121,342210455
2021-06-18,5.126,523765660
2021-06-21,5.119,449263050
2021-06-22,5.145,678314191
2021-06-23,5.176,586465223
2021-06-24,5.189,217509708
2021-06-25,5.27,619258662
2021-06-28,5.279,445496481
2021-06-29,5.225,290185647
2021-06-30,5.256,371170976
2021-07-01,5.254,564373863
2021-07-02,5.113,442235989
2021-07-05,5.12,257570313
2021-07-06,5.127,381688734
2021-07-07,5.18,349465134
2021-07-08,5.136,328035047
2021-07-09,5.112,426231921
2021-07-12,5.18,596692894
2021-07-13,5.196,346440364
2021-07-14,5.139,382469318
2021-07-15,5.207,355286695
2021-07-16,5.156,370235145
2021-07-19,5.178,332046158
2021-07-20,5.165,306679327
2021-07-21,5.204,578430257
2021-07-22,5.209,269684073
2021-07-23,5.157,268144135
2021-07-26,4.982,915273374
2021-07-27,4.809,807205216
2021-07-28,4.819,913347342
2021-07-29,4.906,640206355
2021-07-30,4.872,225870235
2021-08-02,4.993,375203941
2021-08-03,4.995,233009764
2021-08-04,5.039,248645287
2021-08-05,5.009,209871649
2021-08-06,4.993,112699204
2021-08-09,5.048,229090628
2021-08-10,5.105,324122381
2021-08-11,5.078,239129600
2021-08-12,5.046,133971695
2021-08-13,5.019,202566401
2021-08-16,5.016,186203629
2021-08-17,4.904,352300896
2021-08-18,4.957,384771032
2021-08-19,4.923,240311000
2021-08-20,4.833,418441340
2021-08-23,4.905,352961261
2021-08-24,4.957,317705413
2021-08-25,4.971,207656406
2021-08-26,4.886,194840259
2021-08-27,4.899,232236414
2021-08-30,4.881,215532211
2021-08-31,4.879,245032607
2021-09-01,4.949,386518269
2021-09-02,4.945,224004834
2021-09-03,4.918,348367264
2021-09-06,5.002,494535866
2021-09-07,5.065,457495603
