index_key,index_label,period,start,end,direction,n_obs,lag,ks_stat,pvalue,reject,stars,cv_5,n_eff,elapsed
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,2,1.390837731333811,0.06306306306306306,False,*,1.4257682132220957,725,7.117196899998817
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,3,1.9136326898234408,0.003003003003003003,True,***,1.6436204275723831,724,7.445977599996695
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,4,1.4779376405171922,0.13213213213213212,False,,1.629841493734832,723,8.453627700000652
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,5,1.1689592228197407,0.46346346346346345,False,,1.5917150371939763,722,9.603444299998955
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,6,1.591655345420252,0.03203203203203203,True,**,1.519269951338773,721,10.229305300003034
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,7,1.1899929492648595,0.4744744744744745,False,,1.6094709090794548,720,11.68224939999709
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,8,1.1013356530773233,0.4064064064064064,False,,1.4480082542527566,719,12.372805200000585
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,9,0.8917283683724964,0.7657657657657657,False,,1.366031776156024,718,14.668863599999895
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,10,0.8910523014061174,0.6306306306306306,False,,1.2856422322409398,717,15.236554299997806
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,1,1.8456862039321775,0.0,True,***,1.1045665564408198,734,6.14146940000137
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,2,1.4803545226813208,0.12112112112112113,False,,1.6573271437253894,733,6.932686000000103
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,3,1.8154570271757389,0.009009009009009009,True,***,1.5847694341910727,732,7.533944000002521
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,4,1.4290998873028464,0.16416416416416416,False,,1.630972716809143,731,8.178611500003171
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,5,1.3389865601676385,0.42242242242242245,False,,1.7665341260143963,730,9.270692300000519
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,6,1.1771937759318558,0.5905905905905906,False,,1.696329122171715,729,10.34488539999802
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,7,1.0970939235832209,0.7577577577577578,False,,1.6875816601062266,728,11.679117199997563
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,8,1.3932745962999178,0.11711711711711711,False,,1.5152139350526144,727,11.966573999998218
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,9,1.4301984064592836,0.08508508508508508,False,*,1.504722538570421,726,13.488943600001221
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,735,10,1.0438296262641675,0.35835835835835833,False,,1.3146960051454375,725,16.100630300003104
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,1,1.1429078433736248,0.04004004004004004,True,**,1.1155811084071363,736,5.922812900000281
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,2,2.653137626766573,0.0,True,***,1.4796585297766918,735,6.964685499999177
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,3,1.203186642079274,0.2902902902902903,False,,1.5724130674498134,734,7.3546806999984256
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,4,0.946078160795256,0.7547547547547547,False,,1.5860990362033587,733,8.193390700002055
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,5,1.4163911080545786,0.16616616616616617,False,,1.6160644202798666,732,8.995044600000256
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,6,1.6742697460293419,0.04704704704704705,True,**,1.6652944835118724,731,9.743352600002254
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,7,1.7153709918202487,0.026026026026026026,True,**,1.6029023915739202,730,11.346459500000492
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,8,1.090503243921026,0.5075075075075075,False,,1.4723476404105718,729,12.25270300000193
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,9,0.9173480876550798,0.7487487487487487,False,,1.4181216612807193,728,14.003009799998836
nikkei225,NI 225,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,737,10,0.8995926431535473,0.5725725725725725,False,,1.2510712285137675,727,14.909996200000023
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,1,0.9713186773932297,0.14614614614614616,False,,1.1264584987056054,753,12.85729590000119
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,2,0.6964701296631239,0.8438438438438438,False,,1.3038754457076458,752,7.45731380000143
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,3,0.8594139467196258,0.5195195195195195,False,,1.2386577004931887,751,7.961695599999075
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,4,0.7980609480839488,0.8328328328328328,False,,1.3095402711832131,750,7.658627400000114
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,5,1.0619825693899994,0.23223223223223224,False,,1.2862051152324476,749,10.428846899998462
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,6,0.7931201399989929,0.6856856856856857,False,,1.1821676823826435,748,9.607656200001657
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,7,0.9147143512281001,0.24624624624624625,False,,1.1024447780389457,747,8.856568499999412
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,8,0.8108049720705276,0.47847847847847846,False,,1.1212559728631872,746,9.37060030000066
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,9,0.6605859887681901,0.6006006006006006,False,,0.9389597146618552,745,17.501077999997506
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,754,10,0.540811518369058,0.7327327327327328,False,,0.8384470376774811,744,20.745233600002393
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,1,0.536798191404912,0.6786786786786787,False,,1.1007312142053167,752,6.447594400000526
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,2,1.0261359192131896,0.4024024024024024,False,,1.4699322176378646,751,6.742858699999488
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,3,0.9072617094069304,0.7837837837837838,False,,1.5953663470858583,750,8.11510139999882
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,4,1.2948538680763293,0.31431431431431434,False,,1.6385482890211585,749,8.151403399999253
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,753,5,1.1218306302595633,0.47347347347347346,False,,1.512832782569427,748,10.918490199997905
