dgp,n,lag,rep,causal,method,stat,pvalue,reject,elapsed
S1,1000,1,45,False,drgc,0.8433670584300467,0.2785571142284569,False,6.295752700003504
S1,1000,1,45,False,drgc_naive,0.7736915630227631,0.7535070140280561,False,1.4251831000001405
S1,1000,1,48,False,drgc,0.6152637197586713,0.5470941883767535,False,5.465589199993701
S1,1000,1,48,False,drgc_naive,0.4916955699639365,0.9438877755511024,False,0.7863283000042429
S1,1000,1,47,False,drgc,0.6673655352182055,0.5430861723446894,False,5.921823699995002
S1,1000,1,47,False,drgc_naive,0.6005477911228256,0.9118236472945892,False,1.2304265999991912
S1,1000,1,46,False,drgc,1.140700209952104,0.0661322645290581,False,5.972401099999843
S1,1000,1,46,False,drgc_naive,1.1709877124340171,0.3266533066132264,False,1.354424299999664
S1,1000,1,51,False,drgc,1.1970785929191017,0.0521042084168336,False,5.744769099997939
S1,1000,1,51,False,drgc_naive,1.2198563478751865,0.250501002004008,False,1.1626939999987371
S1,1000,1,50,False,drgc,0.5964825465270748,0.6392785571142284,False,6.0254990000030375
S1,1000,1,50,False,drgc_naive,0.7322744652088754,0.7915831663326653,False,1.3772013999987394
S1,1000,1,52,False,drgc,0.4339752765766608,0.6993987975951904,False,6.00611800000479
S1,1000,1,52,False,drgc_naive,0.4488519532384877,0.9539078156312624,False,1.382244600004924
S1,1000,1,49,False,drgc,0.4556118385800698,0.845691382765531,False,6.061812400002964
S1,1000,1,49,False,drgc_naive,0.7787027570928534,0.779559118236473,False,1.435451400000602
S1,1000,1,53,False,drgc,0.4682456223930252,0.7595190380761523,False,6.003364899996086
S1,1000,1,53,False,drgc_naive,0.3919658656616476,0.9879759519038076,False,1.38445430000138
S1,1000,1,54,False,drgc,0.4648865529723768,0.8236472945891784,False,6.21275980000064
S1,1000,1,54,False,drgc_naive,0.4675164845028802,0.9559118236472944,False,1.3747057000000495
S1,1000,1,55,False,drgc,0.9922631461833652,0.1182364729458917,False,6.127296099999512
S1,1000,1,55,False,drgc_naive,0.9846359360894672,0.5511022044088176,False,1.395050099999935
S1,1000,1,56,False,drgc,1.0218888272984823,0.1302605210420841,False,6.096913000001223
S1,1000,1,56,False,drgc_naive,1.031704573203544,0.4909819639278557,False,1.381283299997449
S1,1000,1,57,False,drgc,0.4074844264758194,0.8016032064128257,False,6.117090899999312
S1,1000,1,57,False,drgc_naive,0.5314558518185482,0.9218436873747496,False,1.3987961999955587
S1,1000,1,58,False,drgc,0.5223350331024338,0.7635270541082164,False,6.09617089999665
S1,1000,1,58,False,drgc_naive,0.4977092316299085,0.9659318637274548,False,1.3545604000028106
S1,1000,1,59,False,drgc,0.3167400970212332,0.9138276553106212,False,6.077515600001789
S1,1000,1,59,False,drgc_naive,0.2766960554305482,0.995991983967936,False,1.369614700000966
S1,1000,1,60,False,drgc,0.7604965610784207,0.4268537074148296,False,6.122926399999415
S1,1000,1,60,False,drgc_naive,0.6438583896082489,0.8717434869739479,False,1.3164147999996203
S1,1000,1,62,False,drgc,0.3758033886079277,0.93186372745491,False,5.907133100001374
S1,1000,1,62,False,drgc_naive,0.4248431983688734,0.9859719438877756,False,1.3622820000018692
S1,1000,1,64,False,drgc,1.4373523304400866,0.0080160320641282,True,6.012523899997177
S1,1000,1,64,False,drgc_naive,1.572225269564261,0.1342685370741483,False,1.3428860999993049
S1,1000,1,63,False,drgc,0.3147150328106237,0.939879759519038,False,6.046288600002299
S1,1000,1,63,False,drgc_naive,0.4220978861003736,0.9899799599198396,False,1.3874900000009802
S1,1000,1,61,False,drgc,0.5327199105094826,0.5511022044088176,False,6.10032059999503
S1,1000,1,61,False,drgc_naive,0.6480749664943452,0.8517034068136272,False,1.3627286000046297
S1,1000,1,65,False,drgc,1.269027302483173,0.034068136272545,True,6.252931399998488
S1,1000,1,65,False,drgc_naive,1.1720585895896136,0.3567134268537074,False,1.3902949999974226
S1,1000,1,66,False,drgc,0.8886414676224241,0.280561122244489,False,6.009994500003813
S1,1000,1,66,False,drgc_naive,0.8753716236731274,0.6212424849699398,False,1.3939181999958237
S1,1000,1,67,False,drgc,0.9056465043231798,0.2264529058116232,False,6.043644600002153
S1,1000,1,67,False,drgc_naive,0.8955371873464438,0.6533066132264529,False,1.4024639999988722
S1,1000,1,70,False,drgc,0.6652443847493248,0.4649298597194389,False,5.56642699999793
S1,1000,1,70,False,drgc_naive,0.5975843754401979,0.8897795591182365,False,0.8828684999971301
S1,1000,1,68,False,drgc,0.949809036057156,0.1242484969939879,False,5.958736100001261
S1,1000,1,68,False,drgc_naive,1.032022074656649,0.3787575150300601,False,1.372654100006912
S1,1000,1,69,False,drgc,0.9802750257914028,0.1482965931863727,False,5.913050199997088
S1,1000,1,69,False,drgc_naive,1.231505911254252,0.2625250501002004,False,1.357065099997271
S1,1000,1,71,False,drgc,1.5671490890368225,0.0200400801603206,True,6.022144499998831
S1,1000,1,71,False,drgc_naive,1.637287713732584,0.1062124248496994,False,1.410000100004254
S1,1000,1,72,False,drgc,0.5586845718138705,0.6092184368737475,False,6.033626399999776
S1,1000,1,72,False,drgc_naive,0.5070100538006801,0.9559118236472944,False,1.4097534000029557
S1,1000,1,73,False,drgc,1.131925629282374,0.096192384769539,False,6.084537200003979
S1,1000,1,73,False,drgc_naive,0.7762539453712838,0.749498997995992,False,1.396463400000357
S1,1000,1,74,False,drgc,1.3729153232293438,0.0200400801603206,True,6.028125599994382
S1,1000,1,74,False,drgc_naive,1.3993125409262377,0.1823647294589178,False,1.3774284000028274
S1,1000,1,75,False,drgc,0.7104609571326281,0.4228456913827655,False,6.034788500001014
S1,1000,1,75,False,drgc_naive,0.6072312067271668,0.8817635270541082,False,1.387691800002358
S1,1000,1,76,False,drgc,1.1297035081268836,0.0480961923847695,True,6.0949213999992935
S1,1000,1,76,False,drgc_naive,1.160843207245742,0.3386773547094188,False,1.3667433000009623
S1,1000,1,77,False,drgc,0.6266517189590542,0.5971943887775552,False,6.064465900002688
S1,1000,1,77,False,drgc_naive,0.5222446651786207,0.9679358717434868,False,1.4461385999966296
S1,1000,1,78,False,drgc,0.4111940334981855,0.8476953907815631,False,6.124967800002196
S1,1000,1,78,False,drgc_naive,0.4658542460472417,0.9819639278557114,False,1.610137499999837
S1,1000,1,79,False,drgc,0.5518794016668251,0.5210420841683366,False,6.087805099996331
S1,1000,1,79,False,drgc_naive,0.4556984726250365,0.969939879759519,False,1.619860000006156
S1,1000,1,80,False,drgc,0.8237756964381553,0.3186372745490982,False,6.021938999998383
S1,1000,1,80,False,drgc_naive,0.8997818708811117,0.6212424849699398,False,1.5533387000032235
